x,y,x_error,y_error
4832.83,7912.79,-0.05,-0.01
4906.95,8370.95,0.05,0
5052.86,7858.84,-0.13,-0.02
5126.07,8284.89,0.13,0
5574.73,7843.8,-0.05,-0.01
5646.58,8234.68,0.05,0
5985.73,7923.88,-0.25,-0.03
6056.16,8276.57,0.25,0.01
6666.74,7865.82,0.06,0.01
6735.71,8153.1,-0.06,0
6814.77,7924.79,0.06,0.01
6883.44,8199.6,-0.06,0
6918.77,7904.82,-0.09,-0.01
6986.79,8158.95,0.09,0
7056.79,7893.85,-0.03,0
7124.48,8105.55,0.03,0
7210.86,7902.78,0.19,0.02
7278.51,8050.22,-0.19,-0.01
7422.78,7855.77,-0.22,-0.03
7488.89,7976.92,0.22,0.01
7507.75,7890.83,-0.01,0
7574.1,8001.15,0.01,0
7841.79,7886.8,0.02,0
7907.2,7927.88,-0.02,0
8023.77,7922.78,-0.11,-0.01
8088.47,7952.89,0.11,0
8032,28210,0.1,0.22
8098.29,28243.37,0.19,0.15
8032.82,7886.83,-0.21,-0.23
8097.52,7915.53,-0.09,-0.15
8197,28209,0.06,0.21
8262.83,28229.17,0.13,0.02
8197.79,7885.82,-0.22,-0.23
8261.88,7901.07,0.03,-0.02
8376,28187,0.25,0.24
8441.69,28191.93,-0.12,0.06
8376.77,7863.83,-0.02,-0.21
8440.64,7863.91,-0.1,-0.06
8579,28195,0.17,0.02
8644.09,28185.62,-0.16,-0.01
8651.76,7850.83,0.19,0.02
8715.13,7836.29,-0.19,-0.01
8744.67,7926.82,-0.11,-0.01
8807.33,7903.19,0.11,0
8850,28191,0.29,0.21
8914.3,28145.28,-0.06,0.04
8850.78,7867.77,0.01,-0.17
8913.46,7817.23,-0.24,-0.05
8950,28221,0.04,0.2
9013.59,28167.73,0.18,0.01
8950.84,7897.82,-0.31,-0.23
9012.65,7839.61,0.09,0
9045,28241,0.08,0.01
9108.68,28198.49,-0.08,0
9192,28177,0.17,0.2
9255.1,28109.86,0,0.08
9192.72,7853.79,-0.06,-0.19
9254.2,7781.88,-0.11,-0.08
9247,28208,0.07,0.2
9309.68,28112.4,0.21,-0.09
9247.77,7884.81,-0.21,-0.22
9308.95,7784.09,-0.08,0.09
9417,28165,0.15,0.2
9479.32,28055.88,0.06,0
9417.75,7841.8,-0.12,-0.2
9478.46,7727.75,-0.09,0
9591,28175,0.16,0.2
9652.87,28042.94,0.02,-0.12
9591.77,7851.79,-0.13,-0.19
9651.94,7714.57,-0.05,0.12
9875,28254,0.25,0.21
9936.36,28072.11,-0.05,0.16
9875.64,7930.78,0.09,-0.17
9935.58,7744.31,-0.28,-0.17
10193,28221,0.16,0.21
10253.19,28007.44,0.03,0.01
10193.74,7897.81,-0.1,-0.2
10252.32,7679.33,-0.09,-0.01
10311,28254,0,0.18
10370.64,28050.35,0.17,0.14
10311.62,7930.79,-0.15,-0.2
10369.83,7722.49,-0.02,-0.13
10517,28245,0.05,0.2
10576.27,28102.96,0.09,0.09
10517.71,7921.82,-0.19,-0.21
10575.29,7775.01,0.05,-0.09
10729,28228,0.13,0.18
10787.71,28075.3,0.08,-0.3
